w,na ,neff,re(neff),imag(neff),loss,SA(1/RIU),rg(um)
0.6,1.31,1.4519323887669042-3.291653714847547E-6i,1.451932389,3.29E-06,3.056809348,4.515266479,0.3
0.62,1.31,1.45091066181998-3.408409361911753E-6i,1.450910662,3.41E-06,3.063130661,-12.86890808,0.3
0.64,1.31,1.4499279284661912-4.654727785503613E-6i,1.449927928,4.65E-06,4.052469701,19.68308894,0.3
0.66,1.31,1.4489779158457035-8.768782197488685E-6i,1.448977916,8.77E-06,7.402881711,36.59919711,0.3
0.68,1.31,1.4480534509365457-2.0683030246449427E-5i,1.448053451,2.07E-05,16.94769801,48.73337732,0.3
0.7,1.31,1.447162756493093-6.299269468976022E-5i,1.447162756,6.30E-05,50.14153319,62.31383916,0.3
0.72,1.31,1.4463681716488488-7.261787216858017E-5i,1.446368172,7.26E-05,56.1974339,4.225553293,0.3
0.74,1.31,1.4455284003448416-3.1244543608567226E-5i,1.4455284,3.12E-05,23.52599108,-239.2448912,0.3
0.76,1.31,1.4446878136945411-1.6700577906842026E-5i,1.444687814,1.67E-05,12.24400138,-185.325562,0.3
0.78,1.31,1.4438623372322024-1.1082760365136697E-5i,1.443862337,1.11E-05,7.916966416,-122.6607283,0.3
0.8,1.31,1.4430496310139156-8.456220194001585E-6i,1.443049631,8.46E-06,5.889680806,-88.01871534,0.3
0.82,1.31,1.44224709906344-7.078050707441021E-6i,1.442247099,7.08E-06,4.809559255,-67.16025053,0.3
0.84,1.31,1.4414527062420095-6.319097052721247E-6i,1.441452706,6.32E-06,4.191613225,-53.30402653,0.3
0.86,1.31,1.440664828659652-5.9110384642627865E-6i,1.440664829,5.91E-06,3.829753278,-43.39713781,0.3
0.88,1.31,1.4398821308999379-5.724700566438399E-6i,1.439882131,5.72E-06,3.624729196,-35.92814052,0.3
0.9,1.31,1.4391034920910295-5.692252721697927E-6i,1.439103492,5.69E-06,3.524091098,-30.07483117,0.3
0.92,1.31,1.4383279594632314-5.7758638338033985E-6i,1.438327959,5.78E-06,3.498119016,-25.35301722,0.3
0.94,1.31,1.4375547167917822-5.953636352458985E-6i,1.437554717,5.95E-06,3.529067079,-21.45833072,0.3
0.96,1.31,1.4367830614136075-6.212727567664813E-6i,1.436783061,6.21E-06,3.605923753,-18.18892389,0.3
0.98,1.31,1.4360123865847776-6.545741990382043E-6i,1.436012387,6.55E-06,3.721673497,-15.40493609,0.3
1,1.31,1.4352421674180063-6.94872600369674E-6i,1.435242167,6.95E-06,3.8717798,-13.00591456,0.3
1.02,1.31,1.434471949372378-7.419996721766255E-6i,1.434471949,7.42E-06,4.053302384,-10.9175569,0.3
